الإجراء التنفيذي / المشروع,القطاع,المكون,الهدف,البرنامج,البرنامج الفرعي,مؤشر القياس,وحدة القياس,المستهدف الكلي,المتحقق الكلي,تاريخ بداية التنفيذ,تاريخ الإنجاز,الجهة المنفذة,موقف الإجراء,الكلفة الكلية,التمويل المخصص,المبلغ المصروف,العملة,وحدة المبلغ,مصدر التمويل,ملاحظات
أنشاء مدارس جديده وهدم واعادة بناء عدد (37) مدرسة ابتدائية ورياض اطفال وثانوية ضمن خطة عام (2023).,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,10.0,2024,2026,محافظة المثنى,done,61014559140.0,,,IQD,one,تنمية الاقاليم وصندوق اعمار المحافظات الاكثر فقرا,
أنشاء مدارس جديده وهدم واعادة بناء عدد (29) مدرسة ابتدائية وثانوية ورياض اطفال ضمن خطة عام (2023).,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,14.0,2024,2026,محافظة المثنى - تربية المثنى,done,42470370045.0,,,IQD,one,تنمية الاقاليم وصندوق اعمار المحافظات الاكثر فقرا,
هدم واعادة بناء (4),ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,,2025,2025,محافظة بغداد,done,,,,IQD,one,تنمية الأقاليم,
هدم واعادة بناء (4),ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,,2026,2026,محافظة بغداد,done,,,,IQD,one,تنمية الأقاليم,
اضافة اجنحه دراسية في 12 بناية مدرسية,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2025,2025,محافظة بغداد - الرصافة الثالثة,done,,,,IQD,one,امن غذائي,
اضافة اجنحه دراسية في 2 بناية مدرسية,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2026,2026,,done,,,,IQD,one,,
بناء روضة 4صف,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,رياض اطفال,percent,100.0,,2026,2026,محافظة بغداد,done,,,,IQD,one,تنمية الأقاليم,
بناء قاعات متعدده الاغراض عدد 3 قاعه,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,قاعات متعدده الاغراض,percent,100.0,,2026,2026,محافظة بغداد,done,,,,IQD,one,تنمية الأقاليم,
بناء روضة 6 صف,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,رياض اطفال,percent,100.0,0.0,2025,2025,محافظة بغداد - الرصافة الثالثة,done,,,,IQD,one,امن غذائي,
استملاك وتخصيص قطع أراضي خاصة لوزارة التربية,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2025,2028,,done,,,,IQD,one,تنمية الأقاليم,
بناء مدارس جديدة عدد (5) ضمن المنافع الاجتماعية,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,,2025,2027,شركة نفط البصرة والمديرية العامة للتربية في المثنى,delayed,,,,IQD,one,ضمن المنافع الاجتماعية -شركة نفط البصرة,
اعداد تقرير الحاجة المتوقعة من الأبنية المدرسية لتقليل الاكتظاظ وفك الازدواج واستيعاب النمو السكاني لمدة خمس سنوات وعلى مستوى الاقضية في المديريات العامة للتربية في بغداد والمحافظات بالاعتماد على بيانات التقارير الاحصائية,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,11.0,2023,2031,م .ع. التخطيط التربوي - قسم التخطيط,done,0.0,0.0,0.0,IQD,one,ـــ,
بناء (42) مدرسة ، بواقع (7) مدرسة و 6 صفوف، و13 مدرسة و12 صف و9 مدارس 18 صف و13 مدرسة 24 صف,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,19.0,2023,2024,الامانة العامة لمجلس الوزراء و محافظة كركوك,done,,,,IQD,one,الامانة العامة لمجلس الوزراء و محافظة كركوك,
بناء مدارس وهدم وإعادة البناء (460),ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2024,2031,محافظة البصرة - تربية البصرة,done,,,,IQD,one,تنمية الأقاليم,
استملاك أراضي عدد 350 قطعة,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,0.0,2025,2031,محافظة البصرة - تربية البصرة,done,,,,IQD,one,تنمية الأقاليم,
نقل ملكية أراضي عدد 240,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,13.0,2024,2031,تربية البصرة,done,,,,IQD,one,لا يتوفر بيانات,
بناء مدارس واجنحة وصحيات (خطة 2019) بعدد 92 مدارس واجنحة عدد 5 وصحيات عدد 8,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,57.0,2020,2025,تربية بابل,done,,,,IQD,one,الموازنة الاستثمارية,
بناء مدارس واجنحة وصحيات (خطة 2021) بعدد 10 مدارس و3 اجنحة و 2 صحيات,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,50.0,2022,2024,تربية بابل,done,,,,IQD,one,الموازنة الاستثمارية,
بناء مدارس واجنحة وصحيات (إعادة اعمار المناطق المحررة) بعدد 3 مدارس و11 اجنحة و2 صحيات,ge,الوصول والانصاف (الالتحاق والمساواة),توسيع البنية التحتية للمدارس على جميع المستويات مع الالتزام بمعايير بناء وإعادة التأهيل المدارس لاستيعاب المزيد من التلاميذ والطلاب ذوي الاحتياجات الخاصة والفتيات في المستوى الأساسي والمتوسط، وتقليل الفترات المزدوجة / الثلاثية والفصول الدراسية المكتظة,البنية التحتية,بناء مدارس,حصة المدارس التي تعمل بالنظام المزدوج لكل مستوى تعليمي,percent,100.0,50.0,2023,2025,تربية بابل,done,,,,IQD,one,الموازنة الاستثمارية,
