الإجراء التنفيذي / المشروع,القطاع,المكون,الهدف,البرنامج,البرنامج الفرعي,مؤشر القياس,وحدة القياس,المستهدف الكلي,المتحقق الكلي,تاريخ بداية التنفيذ,تاريخ الإنجاز,الجهة المنفذة,موقف الإجراء,الكلفة الكلية,التمويل المخصص,المبلغ المصروف,العملة,وحدة المبلغ,مصدر التمويل,ملاحظات
استحداث المجلس الاستشاري الصناعي من ممثلين عن الوزارة والجامعات وقطاع الصناعة للتعاون بين قطاعي التعليم والصناعة,he,,توسيع دور القطاع الصناعي الخاص واعطائه الدور الرئيس لقيادة هذا النشاط، ودعمه مالياً وتشريعياً، للدخول في صناعات متطورة ذات قيمة مضافة عالية.,مكافحة البطالة وتوفير فرص العمل,,,percent,3.0,,2023,2025,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: مكافحة البطالة وتوفير فرص العمل (لا يتضمن الملف عمود موقف الإجراء)
تطوير عمل شعب التاهيل والتوظيف في الجامعات لتطوير مهارات الطلبة التي يحتاجها سوق العمل,he,,توسيع دور القطاع الصناعي الخاص واعطائه الدور الرئيس لقيادة هذا النشاط، ودعمه مالياً وتشريعياً، للدخول في صناعات متطورة ذات قيمة مضافة عالية.,مكافحة البطالة وتوفير فرص العمل,,,percent,3.0,,2022,2025,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: مكافحة البطالة وتوفير فرص العمل (لا يتضمن الملف عمود موقف الإجراء)
تشكيل المجلس الاستشاري من المختصين والكفاءات الوطنية ومن المغتربين لوضع الخطط اللازمة للنهوض بقطاع التعليم على المستوى القريب والمتوسط والبعيد,he,,تشكيل فريق وطني من المختصين مدعوماً بخبرات دولية معنية، لتحديد الأسس العلمية الرصينة لرفع كفاءة التعليم وتحسين جودته، وتقديم خطة محددة بمديات زمنية قصيرة ومتوسطة وطويلة الأمد للنهوض بقطاع التربية والتعليم.,التربية والتعليم,,,percent,100.0,,2023,2025,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
تطوير لجان استثمار طاقات المبتعثين في وزارة التعليم العالي وانشاء لجان في الوزارات كافة تعنى بالعمل على تطوير المؤسسات العراقية,he,,تشكيل فريق وطني من المختصين مدعوماً بخبرات دولية معنية، لتحديد الأسس العلمية الرصينة لرفع كفاءة التعليم وتحسين جودته، وتقديم خطة محددة بمديات زمنية قصيرة ومتوسطة وطويلة الأمد للنهوض بقطاع التربية والتعليم.,التربية والتعليم,,,percent,100.0,,2023,2025,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
الزمالات الدراسية,he,,التركيز علـى بـرامج بناء قدرات الهيئات التعليمية والإداريـة فـي المؤسسات التربوية والجامعات واناطة مهام ادارتها الى قيادات إدارية تتميز بالقدرة والكفاءة بعيدا عن الحزبية والمحاصصة.,التربية والتعليم,,,,1.0,,2024,2025,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
تطوير وتأهيل قدرات القيادات الجامعية و الموارد البشرية ضمن مقر الوزارة والتشكيلات التابعة لها,he,,التركيز علـى بـرامج بناء قدرات الهيئات التعليمية والإداريـة فـي المؤسسات التربوية والجامعات واناطة مهام ادارتها الى قيادات إدارية تتميز بالقدرة والكفاءة بعيدا عن الحزبية والمحاصصة.,التربية والتعليم,,,trainee,5000.0,,2023,2025,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
بناء قدرات فرق المقيمين الوطنية وأعضاء مجالس الاعتماد الاكاديمي,he,,التركيز علـى بـرامج بناء قدرات الهيئات التعليمية والإداريـة فـي المؤسسات التربوية والجامعات واناطة مهام ادارتها الى قيادات إدارية تتميز بالقدرة والكفاءة بعيدا عن الحزبية والمحاصصة.,التربية والتعليم,,,trainee,1.0,,2023,2023,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
أدرس في العراق,he,,التركيز علـى بـرامج بناء قدرات الهيئات التعليمية والإداريـة فـي المؤسسات التربوية والجامعات واناطة مهام ادارتها الى قيادات إدارية تتميز بالقدرة والكفاءة بعيدا عن الحزبية والمحاصصة.,التربية والتعليم,,,percent,2.0,,2024,2025,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
برنامج تطوير طرائق التدريس في الجامعات العراقية نحو التعلم المدمج,he,,التركيز علـى بـرامج بناء قدرات الهيئات التعليمية والإداريـة فـي المؤسسات التربوية والجامعات واناطة مهام ادارتها الى قيادات إدارية تتميز بالقدرة والكفاءة بعيدا عن الحزبية والمحاصصة.,التربية والتعليم,,,trainee,3250.0,,2023,2025,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
تطبيق قواعد الامتثال ومتابعة تنفيذ فقراتها في الجامعات العراقية,he,,دعم ورعاية التعليم الأهلي (العام والعالي) مع تأمين توافر معايير الجودة والرصانة العلمية.,التربية والتعليم,,,percent,3.0,,2023,2025,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
ترصين المسيرة التعليمية في الجامعات والكليات الحكومية و الاهلية من خلال اجراء الامتحان التقويمي للتخصصات الطبية والتقنية الصحية وكليات التمريض,he,,دعم ورعاية التعليم الأهلي (العام والعالي) مع تأمين توافر معايير الجودة والرصانة العلمية.,التربية والتعليم,,,percent,3.0,,2023,2025,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
تقييم الواقع العلمي والاكاديمي لكليات المجموعة الطبية,he,,دعم ورعاية التعليم الأهلي (العام والعالي) مع تأمين توافر معايير الجودة والرصانة العلمية.,التربية والتعليم,,,percent,3.0,,2023,2025,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
المصادقة والمباشرة بتنفيذ الاستراتيجية الوطنية للتربية والتعليم ٢٠٢٢-٢٠٣٠,he,,الاشراف المباشر على تنفيذ الاستراتيجية الوطنية للتربية والتعليم (2023 - 2031),التربية والتعليم,,,percent,100.0,,2023,2030,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
اكمال تطبيق المناهج حسب مسار بولونيا ومتابعة تطبيقه في الجامعات التقنية وإقرار المرحلة الثانية من اطار المؤهلات المهنية والتقنية بالتعاون مع منظمة اليونسكو,he,,الاشراف المباشر على تنفيذ الاستراتيجية الوطنية للتربية والتعليم (2023 - 2031),التربية والتعليم,,,percent,100.0,,2022,2024,وزارة التعليم العالي والبحث العلمي,ongoing,,,,IQD,one,,مصدرها استمارة البرنامج الحكومي: التربية والتعليم (لا يتضمن الملف عمود موقف الإجراء)
